,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,7K,O-Pavee,8063,https://open.spotify.com/track/5WEHilfOdudSxPesExdQiQ
56,หมดรัก,Ironboy,7534,https://open.spotify.com/track/1Yadmrhm2j3yzJ3exaDwwQ
57,"แพ้ทุกที (LOOPER)","fellow fellow",7089,https://open.spotify.com/track/1OCWm66r2PwI8RsspEMfzD
58,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",6898,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
59,อยากเจอ,P.O.P,6807,https://open.spotify.com/track/6cj9e4aSjz130UUZPrcmsN
60,ใจเย็น,Image,6716,https://open.spotify.com/track/5HoTeTzdfAataCZ0piQyAv
61,ฝันหวานอายจูบ,Stamp,6653,https://open.spotify.com/track/10DSYghyBjAYJa8iCvdRDv
62,"Woman Like Me (feat. Nicki Minaj)","Little Mix",6638,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1
63,รู้ทั้งรู้,OG-ANIC,6295,https://open.spotify.com/track/0KnDJSGxu03x8idlKLKKki
64,"FOREVER YOUNG - KR Ver.",BLACKPINK,6294,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
65,"Love Someone","Lukas Graham",6285,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
66,"คนชั่ว 2018","The Parkinson",6198,https://open.spotify.com/track/7ei0VnJbGojtdCDCp2Mow1
67,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,6185,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
68,กำลังจะ,Illslick,6122,https://open.spotify.com/track/18kwPdB3Bx8n9Mk4YsO6LT
69,"LOVE SCENARIO",iKON,6095,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
70,"Bohemian Rhapsody - Remastered 2011",Queen,5900,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
71,ต่อให้,"Season Five",5834,https://open.spotify.com/track/7EiesOznEUAta5QIb89I7e
72,เอาไว้ค่อยคุย,Gliss,5761,https://open.spotify.com/track/7kPt9mmvufI8A99lvwlzAB
73,"Girls Like You (feat. Cardi B)","Maroon 5",5399,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
74,"As If It's Your Last",BLACKPINK,5252,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
75,"This Feeling","The Chainsmokers",5139,https://open.spotify.com/track/4edS9dC0JPBlSS4p4gMOT0
76,Shallow,"Lady Gaga",4959,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
77,"Ruin My Life","Zara Larsson",4901,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
78,เกลียด,"The Yers",4878,https://open.spotify.com/track/41vKbXPhcMVyb3WCWQwsfl
79,"Sweet but Psycho","Ava Max",4857,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
80,"Better Now","Post Malone",4665,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
81,ด้วยความยินดี,"Marc Tatchapon",4652,https://open.spotify.com/track/01OV7S5Hn7tsLXtisTdzNO
82,"There's No Way (feat. Julia Michaels)",Lauv,4644,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ
83,พบกันใหม่,Polycat,4608,https://open.spotify.com/track/4IKn1t0eZZzF5mji1vraVI
84,เท่าไหร่ไม่จำ,Potato,4590,https://open.spotify.com/track/5zRMhQ21pWGN0rPxAS4QkI
85,"KILLING ME",iKON,4502,https://open.spotify.com/track/27kB4qLUCV8nZd2eOgj1Tk
86,Escape,"Moving and Cut",4463,https://open.spotify.com/track/3QNcZFnVawSjecRnWDd15O
87,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",4421,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
88,"I Like Me Better",Lauv,4377,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
89,"Happy Now (feat. Sandro Cavazza)",Kygo,4343,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
90,"MIA (feat. Drake)","Bad Bunny",4262,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
91,"Told You So","Little Mix",4252,https://open.spotify.com/track/1leK8yhFrHCLXnRvBeQcyy
92,Natural,"Imagine Dragons",4232,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
93,แค่เราไม่ได้รักกัน,Indigo,4196,https://open.spotify.com/track/7Fi43HjA5FTTCPOj2wai00
94,เพราะเธอยังลืมเขาไม่ได้,Gtk,4152,https://open.spotify.com/track/7btZm25zLfg4PFehQM8TEt
95,ความลับมีในโลก(Secret),"Ink Waruntorn",4104,https://open.spotify.com/track/6oTyQdGm1gjyDbd1N1Vhq4
96,"Perfect To Me",Anne-Marie,4101,https://open.spotify.com/track/0DC7Zs2qvAbNK1owWQ4mlL
97,คนเคยรัก,"Kacha Nontanun",4087,https://open.spotify.com/track/1DsyHC9n0MzgT9xoe7X7vw
98,"NIGHT LIGHT","NINE BY NINE",4082,https://open.spotify.com/track/2SY7U9T1AsVloryBVPWXyA
99,"Let You Love Me","Rita Ora",4047,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
100,"Eastside (with Halsey & Khalid)","benny blanco",3979,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
101,"Bad Boy","Red Velvet",3972,https://open.spotify.com/track/5GKwq4sO5ZHKuWaDmdwMQc
102,Siren,SUNMI,3971,https://open.spotify.com/track/2EK48RuuE8HHMDzD2rEDqL
103,"Young Dumb & Broke",Khalid,3916,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
104,ใจบาง,Sirpoppa,3894,https://open.spotify.com/track/4mIRbmg7ACPCQYAM6y4LQN
105,"FAKE LOVE",BTS,3889,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
106,"no tears left to cry","Ariana Grande",3886,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
107,"when the party's over","Billie Eilish",3880,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
108,"Be Alright","Dean Lewis",3869,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
109,"Lil’ Touch","Girls' Generation-Oh!GG",3842,https://open.spotify.com/track/4D5Ode2OfZMxIwQyvmhUe8
110,FRIENDS,Marshmello,3833,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
111,"I Found You (with Calvin Harris)","benny blanco",3821,https://open.spotify.com/track/5sdb5pMhcK44SSLsj1moUh
112,"BOOMBAYAH - KR Ver.",BLACKPINK,3799,https://open.spotify.com/track/1qAPA8TooLVEqAZ58fhcrt
113,Perfect,"Ed Sheeran",3789,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
114,"PLAYING WITH FIRE - KR Ver.",BLACKPINK,3777,https://open.spotify.com/track/5OepnJhqZoyJN8qWo2LZzy
115,"Suncity (feat. Empress Of)",Khalid,3710,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
116,"HANN (Alone)",(G)I-DLE,3700,https://open.spotify.com/track/7gr57cYekMWriyJYbT7oZ4
117,"The Middle",Zedd,3666,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
118,"New Rules","Dua Lipa",3608,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
119,"Shape of You","Ed Sheeran",3605,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
120,"Power Up","Red Velvet",3579,https://open.spotify.com/track/381g0b6QZxC13SzA2HRMIc
121,Closer,"The Chainsmokers",3521,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
122,IDGAF,"Dua Lipa",3519,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
123,ต่าง,Catherine,3517,https://open.spotify.com/track/1Njv2CGB6MJ4imip41DZcA
124,ถ้าฉันหายไป(Skyline),"Earth Patravee",3516,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
125,PLEASE,"Atom Chanakan",3456,https://open.spotify.com/track/60hF3gZXQ33xdAXXk6tE1x
126,4:00,"The Toys",3437,https://open.spotify.com/track/1PGNDa8dIRkOQ6VLvNHRdw
127,IDOL,BTS,3431,https://open.spotify.com/track/03iCbZaM4OkRR4We6wIzvx
128,"Galaxy (feat. Kob The X Factor)","D Gerrard",3421,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
129,"In My Feelings",Drake,3413,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
130,"Too Good At Goodbyes","Sam Smith",3397,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
131,"What is Love?",TWICE,3375,https://open.spotify.com/track/5Ek40FyMPprcvtyZDjqylX
132,"WHISTLE - KR Ver.",BLACKPINK,3369,https://open.spotify.com/track/67BbMuItfrHmaNqDxBPF7c
133,Havana,"Camila Cabello",3367,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
134,1999,"Charli XCX",3320,https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8
135,"SICKO MODE","Travis Scott",3312,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
136,"Ooh La La La",EXO,3309,https://open.spotify.com/track/7wfbHZcNtENuAcbog7c6kQ
137,รถคันเก่า,"Atom Chanakan",3252,https://open.spotify.com/track/5tYSThnYOKQCEjtvFiGcL0
138,Smoke,"Violette Wautier",3252,https://open.spotify.com/track/4QWno5VXD5LMpoQQlNrJNQ
139,Lullaby,GOT7,3208,https://open.spotify.com/track/1aDarBap4uQgOt9k4fxWd8
140,breathin,"Ariana Grande",3204,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
141,"REALLY - KR Ver.",BLACKPINK,3202,https://open.spotify.com/track/7AWtaOSb7cgi16wJr3mkuf
142,Attention,"Charlie Puth",3195,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50
143,เกาะสวาทหาดสวรรค์,"Gavin D",3167,https://open.spotify.com/track/193BjzeSedC42I3ydg1SyF
144,มันเป็นใคร,Polycat,3140,https://open.spotify.com/track/4PXdOchDL7aUZghQobIlhX
145,ไมโครโฟน,"THE OLD ISE",3116,https://open.spotify.com/track/0zrEz2Pu3c1jTyihK0T2Li
146,Polaroid,"Jonas Blue",3113,https://open.spotify.com/track/6XqvFyJGdUD5IWee02ARKU
147,ฝืนตัวเองไม่เป็น,"Non Tanon",3076,https://open.spotify.com/track/5AwQir16Hh3nHBLyGuhTjU
148,เป็นทุกอย่าง,"Room 39",3072,https://open.spotify.com/track/0lQWN4uo1PCdzrxEZJM95P
149,"Wake Up in the Sky","Gucci Mane",3053,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
150,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",2988,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
151,"SEE U LATER - KR Ver.",BLACKPINK,2965,https://open.spotify.com/track/514mQDPkXmPzsYwGNmkBJZ
152,LATATA,(G)I-DLE,2956,https://open.spotify.com/track/2ezKXygNO30pXyDQXkm6oD
153,รู้มั้ย?,"NO ONE ELSE",2907,https://open.spotify.com/track/1KEGvIC1PMZiwWAps1NgsO
154,"God is a woman","Ariana Grande",2891,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
155,Thunder,"Imagine Dragons",2881,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
156,BAAM,MOMOLAND,2874,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
157,เวลาเธอยิ้ม,Polycat,2870,https://open.spotify.com/track/06DPpk0hUJEgpzl5cuWNI6
158,Shine,PENTAGON,2855,https://open.spotify.com/track/7nkp1uuSbKkoxMvEs8cSw0
159,"What Lovers Do","Maroon 5",2850,https://open.spotify.com/track/0WdGQhoAP2LBsqr5Jhit2g
160,"BBoom BBoom",MOMOLAND,2841,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto
161,ลืมไปก่อน,"Buddha Bless",2840,https://open.spotify.com/track/4FqihJCXbisi7QYobU7ff6
162,"Thru These Tears",LANY,2840,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
163,"Diamond Heart","Alan Walker",2833,https://open.spotify.com/track/4J4zx8xGJpuGndrVc06KaT
164,"Paris in the Rain",Lauv,2808,https://open.spotify.com/track/41CgzGD7xlgnJe14R4cqkL
165,เจ็บจนไม่เข้าใจ,PORTRAIT,2783,https://open.spotify.com/track/4URCEQmgwuwaHiySIqGmIa
166,หมายความว่าอะไร,MEAN,2774,https://open.spotify.com/track/63rLjQUFTxemPqACev1by7
167,ไวน์,"Max Jenmana",2763,https://open.spotify.com/track/00Hj710RrsLX5s9bothwlW
168,24/7,EXO,2744,https://open.spotify.com/track/7kcCB7oh6X4bSoFCvrHLvG
169,"Dance The Night Away",TWICE,2741,https://open.spotify.com/track/281tmNk46TBQS9ACYMLYyA
170,เบอร์มาดิ,P-Hot,2734,https://open.spotify.com/track/740TQSOivzfTgFYcMPWbnf
171,"Casanova Boy (feat. UMA)","D Gerrard",2733,https://open.spotify.com/track/6FQhS4fzbdhApRIFwq8jjg
172,ประเทศกูมี,"Rap Against Dictatorship",2719,https://open.spotify.com/track/04aLcAMlOlxWJFLdl8H6NH
173,"피카부 Peek-A-Boo","Red Velvet",2709,https://open.spotify.com/track/42tFTth2jcF7iSo0RBjfJF
174,"Malibu Nights",LANY,2705,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
175,Shibuya,Younggu,2703,https://open.spotify.com/track/7tOf6X2iTpeSXxaqdM7E3W
176,"Not That Type",gugudan,2702,https://open.spotify.com/track/0dHWWPN5XGWotUnM57QQZK
177,Believer,"Imagine Dragons",2694,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
178,"Strawberries & Cigarettes","Troye Sivan",2690,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
179,รอยยิ้ม,Scrubb,2650,https://open.spotify.com/track/6ezEwX2eZRZlioqYaUPOKX
180,"Psycho (feat. Ty Dolla $ign)","Post Malone",2646,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
181,"Empty Space","James Arthur",2646,https://open.spotify.com/track/1uru26I2JKd2mQZt0MDCUe
182,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",2629,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
183,Machine,"Imagine Dragons",2627,https://open.spotify.com/track/4uGY9CqDtGtaTTLg1cgsWD
184,Photograph,"Ed Sheeran",2623,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
185,"PICK ME","PRODUCE 48",2615,https://open.spotify.com/track/1LShDXXs40R8bQFNBBupI3
186,Sign,EXO,2607,https://open.spotify.com/track/2MqK2bA1U6MO0EbUpCOG2r
187,"Baby (feat. Marina and The Diamonds & Luis Fonsi)","Clean Bandit",2601,https://open.spotify.com/track/1fLhGF1JfGQYj6EZLndD86
188,"Another One Bites The Dust - Remastered 2011",Queen,2595,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
189,"LOVE BOMB",fromis_9,2558,https://open.spotify.com/track/6FoI3qwCRq0el1RYKeVGSx
190,"We Go Up","NCT DREAM",2556,https://open.spotify.com/track/26vOBLHS116a4WNUVlvAUW
191,Stay,Zedd,2531,https://open.spotify.com/track/0I20rLT2MJDhcF96AjbNYo
192,"빨간 맛 Red Flavor","Red Velvet",2523,https://open.spotify.com/track/7nKQ5WAcjnG48knyLuo8gO
193,ยังคิดถึง...(Same),"Marc Tatchapon",2516,https://open.spotify.com/track/1OlInnJssr9pXY0Ooa0SDT
194,"Best Part",H.E.R.,2515,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
195,"GOODBYE ROAD - KR Ver.",iKON,2511,https://open.spotify.com/track/3PzzEHFguYl6Ev0dIbxsz3
196,"กลัว (18th edited) - 18th edited",Scrubb,2504,https://open.spotify.com/track/6T3awZdmxxF3j5ozSi8vqy
197,ถ้าหาก,"Two Popetorn",2484,https://open.spotify.com/track/3o5FB7uyNadcadhKe3GP32
198,"Blow That Smoke (feat. Tove Lo)","Major Lazer",2471,https://open.spotify.com/track/3nVPr3wSy56cc5LeNHJm9K
199,SAD!,XXXTENTACION,2471,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
200,Gravity,EXO,2458,https://open.spotify.com/track/5SkQThmerj0t27qPYYHVGf
